,stop_name,line_num,stop_id,route_id,stop_lat,stop_lon,node_id
162,30 Av,2,R04,N,40.766779,-73.921479,R04_N
163,30 Av,2,R04,W,40.766779,-73.921479,R04_W
164,33 St,3,632,4,40.746081,-73.982076,632_4
165,33 St,3,632,6,40.746081,-73.982076,632_6
166,33 St,3,716,7,40.744587,-73.930997,716_7
167,34 St - 11 Av,1,726,7,40.755882,-74.00191,726_7
168,34 St - Herald Sq,8,D17,B,40.749719,-73.987823,D17_B
169,34 St - Herald Sq,8,D17,D,40.749719,-73.987823,D17_D
170,34 St - Herald Sq,8,D17,F,40.749719,-73.987823,D17_F
171,34 St - Herald Sq,8,D17,M,40.749719,-73.987823,D17_M
172,34 St - Herald Sq,8,R17,N,40.749567,-73.98795,R17_N
173,34 St - Herald Sq,8,R17,Q,40.749567,-73.98795,R17_Q
174,34 St - Herald Sq,8,R17,R,40.749567,-73.98795,R17_R
175,34 St - Herald Sq,8,R17,W,40.749567,-73.98795,R17_W
176,34 St - Penn Station,7,128,1,40.750373,-73.991057,128_1
177,34 St - Penn Station,7,128,2,40.750373,-73.991057,128_2
178,34 St - Penn Station,7,128,3,40.750373,-73.991057,128_3
179,34 St - Penn Station,7,128,5,40.750373,-73.991057,128_5
180,34 St - Penn Station,7,A28,A,40.752287,-73.993391,A28_A
181,34 St - Penn Station,7,A28,C,40.752287,-73.993391,A28_C
182,34 St - Penn Station,7,A28,E,40.752287,-73.993391,A28_E
183,36 Av,2,R06,N,40.756804,-73.929575,R06_N
184,36 Av,2,R06,W,40.756804,-73.929575,R06_W
185,36 St,6,R36,D,40.655144,-74.003549,R36_D
186,36 St,6,G20,E,40.752039,-73.928781,G20_E
187,36 St,6,G20,M,40.752039,-73.928781,G20_M
188,36 St,6,R36,N,40.655144,-74.003549,R36_N
189,36 St,6,G20,R,40.752039,-73.928781,G20_R
190,36 St,6,R36,R,40.655144,-74.003549,R36_R
191,39 Av,2,R08,N,40.752882,-73.932755,R08_N
192,39 Av,2,R08,W,40.752882,-73.932755,R08_W
193,4 Av,2,F23,F,40.670272,-73.989779,F23_F
194,4 Av,2,F23,G,40.670272,-73.989779,F23_G
195,40 St,1,715,7,40.743781,-73.924016,715_7
196,42 St - Bryant Pk,4,D16,B,40.754222,-73.984569,D16_B
197,42 St - Bryant Pk,4,D16,D,40.754222,-73.984569,D16_D
198,42 St - Bryant Pk,4,D16,F,40.754222,-73.984569,D16_F
199,42 St - Bryant Pk,4,D16,M,40.754222,-73.984569,D16_M
200,42 St - Port Authority Bus Terminal,3,A27,A,40.757308,-73.989735,A27_A
201,42 St - Port Authority Bus Terminal,3,A27,C,40.757308,-73.989735,A27_C
202,42 St - Port Authority Bus Terminal,3,A27,E,40.757308,-73.989735,A27_E
203,45 St,2,R39,N,40.648939,-74.010006,R39_N
204,45 St,2,R39,R,40.648939,-74.010006,R39_R
205,46 St,4,714,7,40.743132,-73.918435,714_7
206,46 St,4,G18,E,40.756312,-73.913333,G18_E
207,46 St,4,G18,M,40.756312,-73.913333,G18_M
208,46 St,4,G18,R,40.756312,-73.913333,G18_R
